911267,1,Skinny Cow-Chocolate Fudge Brownie,5,24011,24083,24413
770518,2,Vtech Count With Me Hippo,4,27742,0,0
879226,3,Blue Ribbon Pet Avian Premier 68'' Play-Top Bird Cage in Gun Metal Gray,2,26122,0,0
916878,4,Marie Callenders Slow Roasted Beef 14.5 Oz,5,24011,24058,0
1707375,5,Mars Singles Variety Pack 18-ct.,5,23105,28942,0
1295692,6,Hunts Tomato Sauce 8oz,5,27622,27634,28582
1130288,7,Kerrygold Unsalted Cream Butter - 8 Oz,5,24008,24030,24234
1189839,8,"Maybelline New York Waterproof Mascara, Dark Brown 03 1 Ea",3,26121,26290,28323
1005947,9,"Coca-Cola Cola, Classic 64 fl. oz.",5,24003,24129,24297
1458816,10,Safeway Stir Fry Vegetables with Asparagus - 16 Oz,5,24011,24146,24616
900465,11,"Bonbons: 8094 Sparkle Hot Pink Nail Polish Bonbons, 4 mL",3,26121,26291,27087
934035,12,Bumble Bee Pink Salmon,5,24006,24125,24726
1290722,13,Women's Danshuz 2" Heel Character Shoe,,,,
908698,14,"Minute Maid Premium: Premium Lemonade, 64 Fl Oz",,,,
954422,15,Betty Crocker Whole Grain Cheeseburger Macaroni Hamburger Helper  4.8 Oz,,,,
7400996,16,"Bush OfficePro Desk 72"", Light Oak, installed",,,,
6408265,17,Culver City Meat Beef Shank/Bone In Cut 1.75" / 10 Lbs,,,,
